model,mean_per_series_mape,median_per_series_mape,aggregate_mape,test_horizon_days,n_series
lightgbm,73.44951873519814,33.59787281518574,5.824805359348541,28,100
linear_regression,80.73101113665126,36.08699006140402,6.4522546828810405,28,100
xgboost,74.7139729428946,33.54875015398322,6.478962074629097,28,100
prophet,68.57751942568424,33.826589413827676,6.574298747350994,28,100
random_forest,87.16944993194153,32.79121097566856,7.286579340791835,28,100
naive_seasonal_lag7,78.57934321467421,40.858966818422815,10.754797101949633,28,100
arima,85.21385744784857,43.86951348361124,18.45962859539699,28,100
